Recency_of_Purchase,Frequency_of_Purchases,Amount_Spent,Clusters
0.5987330403688543,-0.22007080952952396,0.7701217989147482,2
-0.3600375807964405,0.5111078413952038,0.780475313433155,0
-0.26788959972392523,-0.9501783209092279,0.15936223151636475,1
-0.9893393589114841,-0.030237179114114294,0.14245471528817438,0
0.9217768921319911,-0.28192685285798524,-0.26616650948058745,2
-0.6736088454066701,0.087643734546856,0.733873081114557,0
0.716964624751542,-0.5116211541663576,-0.47350345454322157,2
0.9871639346936503,-0.12859933929950446,-0.09470784535550154,2
0.8138113107440617,-0.46504751730292426,-0.3484852323347701,2
-0.658948601647173,-0.17792822885872098,0.7308408074009237,0
-0.19305091968944937,0.22300683556189263,0.9555099652540149,0
-0.7838685071659618,-0.5858158247910938,-0.2058397019472605,1
-0.09582679738219159,0.570494948372569,0.8156915708678449,0
-0.39925169151341916,0.6293391802678859,0.6667310424777138,0
0.8849133016944941,-0.3388507880932257,-0.3195443504315937,2
-0.27611841562277145,0.6678788721427834,0.6911558671524491,0
0.2398209235459506,-0.7591828231263275,-0.6050845938375118,2
-0.9930813681901953,0.09807500544458563,-0.06458087534660872,1
0.9396247822828057,-0.2820003037581014,-0.1938584462960758,2
-0.6397708429679636,-0.549377850380962,-0.5374730188566258,1
-0.22353546891658588,0.6004877144839521,0.7677541265861628,0
-0.8392378320265859,-0.3698571624846433,0.3986044915127326,1
-0.5476786185216903,-0.8181536308001526,-0.17513642460293763,1
0.9204739141481281,-0.2947718907321137,-0.2565878130524506,2
-0.7110183431074873,-0.5290407319870649,-0.4632157377111384,1
-0.6670453237429396,-0.5674124556292577,-0.48279772293316847,1
0.9972666992851862,0.01098153938445246,0.07306528785666813,2
0.15841847087129132,0.6898621905136249,0.7063948939414447,0
-0.1735922343881872,-0.7740001436622986,-0.6089248835208311,1
-0.6638485671971281,0.2898316913825529,0.6894219828962875,0
-0.9855171000420135,0.1071888333133598,0.1314024335303598,0
0.947641211701258,0.235890518590478,0.215248222116901,2
-0.6189837651806964,-0.5633590645935939,-0.5472528325947333,1
0.921080064269842,-0.30949498492507055,-0.23627181277269219,2
-0.605025912590585,0.24311432517871162,0.7581814228710893,0
-0.1586267008130369,-0.69614088610618,-0.700161007540747,1
-0.7640258423258305,0.24408600809465525,-0.597232394391598,1
-0.6463164462309329,-0.40494365200404986,0.6467578295104286,0
-0.4244470946974365,-0.8807871953961932,-0.2099013583305579,1
-0.5111451330874077,0.5826524399202702,0.6318597844269029,0
-0.5572690612934542,0.5852271728043549,0.5890334027341184,0
-0.9507247446184939,0.2455579970883107,0.18927157746496676,0
0.7222194107348698,-0.552797430661787,-0.41570918129324985,2
0.8873400444669503,-0.3384210158841641,-0.31320737777600527,2
0.908086055938371,-0.3051288276618007,-0.2868381312518068,2
-0.38444463418082986,-0.7541861487728414,-0.532358503499998,1
0.9173322220100082,-0.38589929821750135,0.09789446407954361,2
-0.440072792374337,0.23229781944413086,0.8673947547070803,0
-0.948946953949939,-0.050749571577011536,0.3113264517735074,0
-0.5447900818341006,0.293529792736624,0.7855215003494102,0
-0.04300824828262813,0.1418734292641117,0.9889500597343129,0
0.946129915003828,-0.2466448189440712,-0.20977253686528072,2
-0.6181315926220237,-0.6979691161702548,-0.36159707835527904,1
-0.3842487127086593,-0.6941877845511557,-0.6086511698515797,1
0.8239088083893472,-0.44457153117274356,-0.35146895898381725,2
-0.16652473571228432,0.6817239575990461,0.7124057537888417,0
-0.4439719087499278,0.6433739994992091,0.6236656484121419,0
0.3347152064631496,-0.7155611788141071,-0.6131377740251344,2
-0.372156956191026,-0.7091132049389438,-0.5988803407525166,1
-0.8004244616989084,-0.4055859618822752,-0.4413849891399144,1
0.0816090847283171,-0.7300145096824977,-0.6785416515902533,1
-0.8511645266880948,0.48172053421964667,0.20848087542738783,0
0.7722304496397949,-0.5489637494175803,0.3198420461329501,2
-0.2195479895618101,-0.7822527827532723,-0.5829916501581556,1
0.8213165299715924,-0.4128077363258901,-0.39373713366269714,2
-0.7282905969531481,-0.5593748762667144,-0.39584410339327414,1
-0.1707050771797707,0.6489130968871818,0.7414658247777409,0
-0.5160223584039663,0.1478955034961088,0.843710759486236,0
-0.4249082041457308,-0.6654464542002128,-0.6137051691504757,1
-0.16161701101161993,0.5356419973218215,0.8288350815794175,0
-0.23675062990386236,0.18803755162171004,0.9532004083193824,0
-0.21940633646791927,0.6745310675111678,0.704889139141731,0
-0.1509092450627073,-0.6598664798527649,-0.7360724342898084,1
-0.03946336636635278,-0.15300461530972592,0.9874372032736854,0
0.09828870234786823,-0.7759408114334589,-0.6231012663626655,1
-0.34862952998589447,0.5040700821498989,0.790171375780728,0
-0.6959127301177434,0.23366818644164214,0.6790468692992722,0
0.9053234650344197,-0.30420056087659963,-0.29639743996943346,2
-0.6460080223747017,-0.5398014523761497,-0.5397110588454959,1
-0.3126889133982917,0.5132011966655559,0.7992810364188788,0
-0.5259784430189608,-0.6241956032907704,-0.5776906839406544,1
-0.7777044033713336,-0.45748565575015315,-0.43114120164940206,1
0.8885275918296798,-0.3302539873561724,-0.31851377111939616,2
-0.4783363392915549,-0.6335572923557798,-0.6081114238492542,1
-0.3285844767048035,0.630852400871967,0.70289223212574,0
0.5361691297967641,-0.624421950305268,-0.567996383993724,2
-0.20037343108954772,0.6773560554975733,0.7078412690668515,0
-0.6511087942992446,-0.5477500398602446,-0.5253829382643525,1
0.6452679016962968,-0.5299798385911455,-0.5502278670944989,2
-0.21306529806436217,-0.4240000885051535,0.8802426391105843,0
-0.24827719091677722,0.18426619268969682,0.9510017911140429,0
-0.4240600119045724,0.5105881028900283,0.7479792079267016,0
-0.4332268658556286,-0.3077712731103872,0.8471076237107779,0
-0.3346724959928012,-0.760912582730209,-0.5558834067219416,1
0.7122996319455082,-0.5180670547571089,-0.4735353852729365,2
-0.933612811984037,-0.20820817750598575,-0.291575842824633,1
-0.975954691195007,0.15446765381418415,-0.1537926677693056,1
-0.7826616893413979,-0.586644961429682,-0.20805857172064854,1
-0.8194914569815217,-0.3747171902790952,-0.4336136289874237,1
0.8507992892255337,-0.38710857507382823,-0.35536955491099215,2
-0.21940633646791927,0.6745310675111678,0.704889139141731,0
-0.14690663073541943,0.6838762752799451,0.7146549390826286,0
-0.31941544520033877,0.5442798150689284,0.7757146745266603,0
-0.18353067806549445,0.6796337197781329,0.710221442332853,0
-0.5280146921756885,-0.6382403389029084,-0.5602229508362842,1
-0.22068702296728465,0.5100727844866317,0.8313380734814757,0
-0.17413476454912707,0.6683672021879266,0.7231613698303466,0
-0.8000601586448701,-0.41346817551478576,-0.43468127448237265,1
-0.7366174568841108,-0.47292097989164766,-0.4834671333109512,1
-0.4212952281330865,0.5966023617295235,0.6830636520347466,0
-0.2353012324889961,0.5356418863361206,0.8110000614003934,0
-0.8789414638316764,-0.08211226272544193,0.4698079176296818,0
-0.17075734668593753,0.8379953145284492,0.5182719183798636,0
-0.9613339311780985,-0.27293927265534995,-0.03662275533096259,1
0.9201495969158175,-0.28982993026365966,-0.26329324111913793,2
-0.279129100543929,0.6112958725602917,0.7405432475016491,0
-0.5516391853533913,-0.5979848802335126,-0.5814708008101167,1
-0.27998900986291436,-0.6641787909980629,-0.693161372224633,1
0.6691875573935527,-0.5501919309949158,-0.4994765781272794,2
-0.9838372224026037,-0.04402179599620055,-0.17356958631165337,1
-0.12544076177006044,-0.9487327396617944,-0.2901220501450604,1
-0.628677283300263,-0.5564957490521732,-0.5432102307109666,1
-0.35480726930693424,-0.13390340607326365,0.9253008589042461,0
0.914350117278748,0.35621626639196957,0.19254566884275784,2
0.03476518267952227,0.5897725431318364,0.8068207542205801,0
-0.6092623878624778,-0.6439691351349612,-0.4627127572583681,1
0.8291375343720353,-0.3456920101384856,-0.43934950008151247,2
0.5545655954705547,-0.8091908322626022,-0.19408038876338357,2
-0.7469777094942022,-0.07954503203353193,-0.6600733969776237,1
0.8757304420846768,-0.3562688250101915,-0.3258354141772102,2
0.6629888518493398,-0.638890657673399,-0.3902108530796471,2
-0.2639438340814592,-0.5397423742764768,-0.7993821500764018,1
0.312884543775399,-0.668891130888275,-0.6743055073818284,2
0.9841577307396525,-0.148051218296166,-0.09754177457068713,2
